Words,Length,AROU,CNC,SIZE
,,M,M,M
moment,6,4.813,2.3,3.226
momentum,8,5.971,3.412,5.333
monarch,7,4.059,5.286,5.576
monarchy,8,3.742,5.394,5.4
money,5,6.563,5.032,4.807
monk,4,3.125,6.133,3.71
monkey,6,5.353,6.559,3.257
monster,7,6.121,3.882,5.441
month,5,3.343,4.057,4.086
monument,8,4.239,6.348,5.768
mood,4,4.906,2.6,4.229
moody,5,3.886,3.029,4.324
moon,4,5.375,6.656,6.387
mooring,7,3.48,4.655,3.926
moose,5,3.735,6.594,4.121
moral,5,4.563,2.294,5.219
morality,8,4.625,1.767,5.742
morbid,6,4.229,2.6,4.543
morgue,6,4.182,6.182,4.853
morsel,6,3.531,4.172,2.438
mosque,6,4.069,6.375,5.125
mosquito,8,4.625,6.594,1.594
moss,4,3.118,6.118,2.429
most,4,4.667,3.324,4.909
moth,4,3.394,6.625,1.576
mother,6,5.143,6,5.242
motherfucker,12,6.636,2.765,4.882
motion,6,5.529,3.857,4.735
motor,5,3.941,6.086,4.242
motorbike,9,5.879,6.758,4.576
motorway,8,5,6.621,5.697
mould,5,3.5,5.517,3.387
mound,5,4.097,5.438,3.839
mount,5,5,4.338,4.427
mountain,8,5.774,6.862,6.323
mountains,9,6.088,6.853,6.412
mounted,7,5.061,4.355,4.273
mouse,5,3.71,6.788,1.941
mouth,5,6.194,6.714,3.065
move,4,4.912,4.441,4.194
movie,5,5.759,5.643,4.807
muck,4,3.906,5,3.313
mucous,6,2.971,5.75,2.939
muddy,5,4.313,5.303,3.891
muffin,6,5.219,6.75,2.97
mug,3,3.059,6.424,2.235
mug (cup),3,3.375,6.794,2.441
mug (face),3,3.6,5.771,3.457
mugged,6,4.471,4.091,4.324
mule,4,2.922,6.5,3.712
multiplication,14,4.206,4.2,4.529
multiply,8,4.229,3.824,5.029
Mum,3,4.594,6.091,5.061
mumble,6,3,3.697,2.324
Mummy,5,5.364,5.794,4.677
mural,5,3.355,5.645,4.133
murder,6,5.871,5.469,5.968
murderer,8,6.294,5.971,5
murmur,6,3.636,4,2.853
muscle,6,5.188,6.5,4.438
muscular,8,5.818,5.313,4.936
museum,6,4.132,6.537,5.194
mushroom,8,3.879,6.647,3.029
mushroom (expand),8,3.5,4.167,4.8
mushroom (food),8,3.353,6.6,2.657
music,5,7.771,5.286,5.853
musical,7,5.742,4.138,4.581
musician,8,6.097,5.367,4.419
musket,6,4.31,6.31,3.733
musketeers,10,4.758,5.219,4.485
mussel,6,3.618,6.324,2.765
mustang,7,4.914,6.029,4.438
mustard,7,3.412,6.094,3
mutation,8,4.818,4.091,4.686
mutilate,8,5.667,4.486,5.219
mystery,7,6.546,2.727,5.875
mystic,6,5.706,2.324,4.156
myth,4,6.147,1.879,4.882
mythology,9,5.03,2.515,5.152
nail,4,3.656,6.429,1.936
nail (finger),4,3.618,6.618,2.118
nail (hammer),4,4.333,6.559,1.971
naive,5,4.438,2.406,3.233
naked,5,7.133,5.063,4.29
name,4,4.286,4.6,3.886
named,5,3.088,3.353,4.059
namesake,8,3.771,2.714,3.5
nanny,5,3.794,5.807,3.788
narcotic,8,4.882,3.829,4.171
narrow,6,3.971,4.2,2.294
nasty,5,4.091,2.546,3.7
nation,6,4.618,4.2,6.314
national,8,4.546,3.563,5.794
natural,7,4.818,3.629,4.606
nature,6,5.406,4.531,6.161
naughty,7,6.629,3.314,3.853
nausea,6,4.394,4.438,4.455
naval,5,4.156,5.188,3.625
navel,5,3.242,6.059,2.594
navy,4,4.971,5.629,4.394
near,4,4.546,3.735,3.382
neat,4,3.229,4.147,2.879
necessary,9,3.818,2.686,4.412
necessity,9,5.807,2.273,4.844
neck,4,5.433,6.63,2.903
necklace,8,5.2,6.714,2.771
nectar,6,5.314,5.971,2.853
need,4,5.344,3.091,4.939
needle,6,4.829,6.714,2
needy,5,3.382,2.714,3.546
negative,8,4.061,3.581,5.03
neglect,7,4.576,2.794,4.912
neglected,9,4.364,2.972,4.229
negotiate,9,5.063,3.303,4.909
negotiation,11,4.559,3.618,5.091
negotiator,10,5.059,3.971,4.333
neighbour,9,4.576,5.807,3.697
neon,4,6.029,4.706,3.588
nephew,6,3.235,5.941,3.455
nervous,7,5.114,3.486,4.2
nest,4,3.925,6.382,2.464
net,3,3.667,5.636,3.2
nettle,6,3.441,6.273,2.364
network,7,4.194,3.781,6
neural,6,4.539,4.138,3.655
neurotic,8,4.849,2.625,4.194
neutral,7,4,3.394,3.909
neutron,7,3.333,4.688,2.871
new,3,6.031,4.219,4.133
news,4,4.909,3.719,5.25
nice,4,4.457,2.941,3.629
niece,5,3.281,5.667,3.485
night,5,5.324,4.969,5.515
nightfall,9,5.323,4.969,5.097
nightmare,9,5.735,3.147,5.061
nimble,6,5.156,3.152,3
nipple,6,5.758,6.559,2.212
noise,5,5.364,4.697,4.576
noisy,5,5.438,3.941,4.647
nonchalant,10,3.69,2,3.621
none,4,3,3.457,2.429
nonsense,8,4.121,2.546,3.849
noon,4,3.771,4.314,3.971
noose,5,4.031,5.943,3.765
norm,4,3.455,3,4.152
nose,4,3.667,6.8,2.452
note,4,4.065,5.355,2.3
notebook,8,3.625,6.647,2.529
notepad,7,3.235,6.794,2.382
notice,6,4.118,3.781,3.323
notion,6,4.774,2.121,4.032
noun,4,2.903,3.909,2.849
nourish,7,5.618,3.364,4.818
nourishment,11,5.206,4.206,5
novel,5,5.375,5.606,3.594
novel (book),5,5.088,6.182,3.235
novel (new),5,5.353,3.265,4.353
novice,6,4.029,4.057,3.324
nucleus,7,3.853,5.706,1.941
nude,4,6.647,5.143,3.882
nugget,6,3.636,5.057,2.324
nuisance,8,4.086,2.943,3.912
nun,3,2.226,6.242,3.091
nuptials,8,4.839,4.185,4.097
nurse,5,5.125,6.031,4.344
nursery,7,3.719,5.875,3.324
nurture,7,4.849,3.257,4.438
nut,3,3.156,6.333,2.194
nut (bolt),3,3,6.353,1.697
nut (crazy person),3,5.794,2.697,4.412
nut (food),3,3.875,6.406,2.147
nutmeg,6,3.412,6.294,2.029
nutrient,8,4.941,5.171,4
nutrition,9,5.242,4.5,4.788
nutritious,10,4.588,4.294,4.667
nuts,4,4.606,6.514,2.086
nuts (bolts),4,3.429,6.429,1.657
nuts (crazy),4,5.971,2.543,4.441
nuts (food),4,3.818,6.667,2.063
nuts (testicles),4,5.714,6.486,2.914
nylon,5,3.677,5.429,2.706
nymph,5,5.214,3.76,3.5
oak,3,3.788,6.559,5.061
oath,4,4.971,3.686,5.647
oats,4,3.094,6.438,1.909
obedience,9,4.618,3.265,4.667
obedient,8,4.771,3.118,4.235
obese,5,3.333,5.353,5.75
obesity,7,3.941,5.677,5.824
obey,4,4.971,3.118,4.618
object,6,3.941,5.171,3.382
object (disagree),6,4.912,2.677,4.765
object (thing),6,3.118,6.177,3.457
objective,9,4.235,2.794,4.324
oblige,6,4.088,2.765,4.147
obliging,8,4.387,2.406,3.968
oblivion,8,5.515,2.758,5.771
oblivious,9,4.188,2.9,4.324
obnoxious,9,4.029,2.765,4.606
oboe,4,3.633,6.452,3.31
obscene,7,5.286,3.057,4.882
obscenity,9,5.939,2.867,5.324
obscure,7,4.938,2.281,3.813
observation,11,4.515,3.485,4.969
observe,7,4,3.353,4.529
obsess,6,4.824,2.714,5.303
obsession,9,5.794,3.088,6.059
obsessive,9,5.171,2.941,5.294
obstacle,8,4.235,4.943,4.914
obvious,7,4.412,2.714,4.657
occasion,8,6.171,3.714,5.606
occasionally,12,3.303,2.242,3.485
occupation,10,4.057,3.943,5.257
occupy,6,4.114,3.441,4.636
occur,5,3.938,3.065,3.906
occurrence,10,3.303,2.971,4.118
ocean,5,5.636,6.571,6.606
octopus,7,5.258,6.793,4.094
odd,3,3.879,2.471,3.457
odour,5,4,4.121,3.969
offence,7,5.441,3.029,4.939
offend,6,5.212,3.152,5.147
offensive,9,5.419,2.333,5
office,6,3.613,6.25,4.313
officer,7,4,5.971,4.206
offshoot,8,3.793,3.5,4
oil,3,3.914,6.265,4.257
older,5,4.563,3.323,4.4
olive,5,4.273,6.677,2.118
omission,8,4.455,2.879,3.939
omit,4,4.4,2.594,3.484
onion,5,3.31,6.786,1.968
only,4,3.6,2.829,2.971
onslaught,9,4.471,3.152,5.167
open,4,5.8,3.6,4.882
opening,7,5,3.697,4.097
opinion,7,5.706,2.588,4.8
opium,5,5.531,5.387,3.839
opportunist,11,5.484,3.5,4.879
opportunity,11,6.563,2.906,5.903
oppose,6,5.667,3.656,4.936
opposition,10,5.057,3.853,4.849
oppress,7,5.152,2.844,5.441
optimal,7,6.094,3.182,4.781
optimism,8,6.765,2.059,5.971
optimist,8,6.912,2.914,5.588
optimistic,10,7.121,2.882,5.794
option,6,4.286,3.152,3.969
oral,4,5.938,4.114,3.6
orange,6,4.788,6.182,2.906
orange (colour),6,5.735,5.714,4.029
orange (fruit),6,4.412,6.657,2.343
orangutan,9,4.194,6.727,4.333
orbit,5,5.594,4.267,5.969
orchard,7,4.543,6.4,5.171
orchestra,9,5.809,6.075,5.706
ordain,6,3.6,3,4.207
ordeal,6,4.588,3.314,5.543
ordinary,8,3.719,3.531,3.636
organ,5,4.968,6.167,3.567
organ (liver),5,3.706,6.647,3.818
organ (piano),5,4.794,6.314,5.029
organise,8,5.152,3.161,4
organised,9,4.818,3.412,4.2
organism,8,4.515,5.618,3.206
orgasm,6,7.941,5.029,5.171
origin,6,4.206,3.206,4.719
ornament,8,3.606,6.371,2.794
ostrich,7,3.657,6.493,4.265
other,5,2.742,2.844,3.344
otter,5,4.313,6.794,3.353
ounce,5,3.333,5.029,2.188
outbreak,8,4.364,3.813,5.697
outcast,7,3.875,3.531,3.774
outcome,7,4.324,3.714,4.382
outdoors,8,5.844,5.485,6.029
outlook,7,4.5,2.594,4.824
output,6,3.394,3.677,4.531
outrage,7,5.794,3.2,5.818
outside,7,5.588,5.382,5.879
outsider,8,4.657,4.25,4.188
outstanding,11,6.8,2.313,5.406
oval,4,3.059,5.343,2.941
oven,4,4.086,6.743,3.657
over,4,3.771,3.514,4.529
over (above),4,4.152,3.939,4.906
over (cricket),4,2.414,3.821,3.241
over (finished),4,3.765,3.794,4.294
overcast,8,3.219,4.893,4.438
overdose,8,4.686,4.618,5.529
overt,5,5.188,2.633,4.75
owl,3,4.212,6.697,2.667
own,3,4.324,3.529,4.061
owner,5,3.765,4.486,4.324
ownership,9,4.936,3.333,4.774
oxygen,6,4.941,5.382,4.788
oyster,6,4.515,6.471,2.382
pacifism,8,4.258,2.636,4.567
pacifist,8,4.531,3.438,4.406
pack,4,3.853,5.086,3.829
pack (fill),4,3.606,4.824,3.912
pack (group),4,4.143,5,5.382
package,7,4.452,6.063,3.226
packet,6,3.765,5.97,2.914
pact,4,4.75,3.576,4.563
padlock,7,3.938,6.75,2.031
page,4,3.633,6.357,2.281
page (call),4,3.281,4.206,2.719
page (paper),4,3.063,6.5,3
page (ward),4,3.04,4.917,3.539
pail,4,2.862,6,2.69
pain,4,5.515,3.719,5.147
painful,7,5.875,2.706,5.364
paint,5,4.618,6.394,3.235
paintbrush,10,4.6,6.5,2.576
painter,7,4.788,6.5,3.735
pair,4,4.719,4.367,3.516
palace,6,5.807,6.29,5.774
pale,4,4.061,3.581,3.375
pamphlet,8,2.882,6.546,2.719
pan,3,2.969,6.543,2.794
pan (camera),3,4.516,4.871,3.677
pan (criticise),3,4.143,2.655,4.179
pan (pot),3,2.788,6.576,2.939
pancake,7,4.853,6.706,2.657
panda,5,4.97,6.441,4.794
panic,5,5.688,3.871,5.455
panorama,8,5.25,4.091,5.906
panther,7,5.8,6.765,4.677
paper,5,3.655,6.652,2.75
paperclip,9,2.606,6.697,1.75
parachute,9,6.118,6.441,5.121
parade,6,6.059,5.8,5.912
paradise,8,7.485,3.094,5.909
paradox,7,4.875,2.862,4.781
paragraph,9,3.147,4.912,3.382
paralyse,8,4.514,4.943,4.147
paralysis,9,4.441,5.235,4.849
paranoid,8,5.618,2.6,4.971
parasite,8,4.486,5.6,2.794
parcel,6,5.429,5.788,3.177
parish,6,3.323,4.75,4.419
park,4,4.516,6,5.387
park (car),4,2.936,5.406,3.688
park (public land),4,5.057,6.5,5.8
parlour,7,4,5.625,3.909
parochial,9,3.813,2.6,4.222
parole,6,4.438,3.727,4.375
parrot,6,4.303,6.647,2.939
parsley,7,3.219,6.594,2.419
part,4,3.143,4.294,3.029
part (divide),4,4.125,3.567,3.424
part (portion),4,3.656,4.5,2.688
partial,7,3.206,2.529,3.294
particular,10,3.455,3.088,3.303
parts,5,4.065,4.452,3.433
party,5,7.242,5.324,5.118
party (celebration),5,7.559,5.606,5.333
party (group),5,6.063,5.514,5.057
pass,4,4.714,3.771,3.412
pass (move past),4,4,4.086,3.618
pass (permission),4,3.818,3.97,4.061
pass (route),4,3.143,4.914,3.588
passage,7,4.586,4.871,3.9
passageway,10,3.5,5.588,4.212
passion,7,7.576,3.194,5.647
passionate,10,8.177,2.515,6
passive,7,3,2.4,3.714
pasta,5,4.212,6.75,2.333
paste,5,2.882,5.333,2.909
pastry,6,4.177,6.114,2.353
patch,5,3.618,5.121,2.758
patch (area),5,2.912,5.147,3.294
patch (repair),5,3.647,5.059,3.059
patent,6,3.441,4.147,3.559
path,4,4.235,5.909,3.909
patient,7,3.971,4.086,4.257
patient (medical),7,4.324,5.886,4.206
patient (tolerant),7,3.941,2.743,4.514
patriot,7,5.323,3.818,4.833
patrol,6,3.677,4.758,4.303
patron,6,3.633,4.625,4.133
pause,5,2.879,4.059,3.281
payment,7,4.594,5.125,4.581
payroll,7,4.235,5.647,4.147
pea,3,3.097,6.645,1.546
peace,5,4.879,2.563,5.794
peaceful,8,4.382,2.875,4.618
peach,5,4.265,6.735,2.412
peacock,7,5.059,6.677,3.706
peal,4,3.394,4.677,3.059
peanut,6,3.343,6.882,1.824
pear,4,3.484,6.686,2.559
pearl,5,5.561,6.631,2.015
peas,4,3.364,6.625,1.727
pebble,6,3.219,6.606,1.909
pecan,5,3.143,6.086,2.057
peck,4,4.371,4.5,2.313
peculiar,8,5.059,2.594,4.424
peddle,6,3.412,5.088,3.03
peek,4,4.471,3.829,2.829
peel,4,3.485,5.061,2.333
peep,4,4.765,3.588,2.188
peer,4,4.667,4.441,3.939
peer (colleague),4,4.719,5.636,3.844
peer (look),4,4.559,3.882,2.971
peers,5,4.548,4.419,4.6
peg,3,2.794,6.265,1.588
pelt,4,4.839,5.406,3.281
pelvis,6,4.824,6.5,3.471
pen,3,2.912,6.714,1.765
pen (cage),3,3.313,5.914,2.469
pen (ink),3,3.941,6.324,2.057
penalty,7,4.091,4.125,4.188
pence,5,3.333,6.143,1.647
pencil,6,3.882,6.556,2.125
penguin,7,4.97,6.469,2.781
penicillin,10,4.548,6.419,3.333
penis,5,6.5,6.647,4.406
penny,5,3.5,6.633,1.516
pension,7,3.607,4.515,3.906
pensive,7,3.645,3,3.839
penthouse,9,5.853,5.967,5.171
people,6,5.697,6.226,5.344
pepper,6,4.412,6.588,2.061
pepper (black),6,3.941,6.5,2.091
pepper (lightly cover),6,3.849,4.469,2.31
pepper (vegetable),6,3.457,6.588,2.455
perceive,8,3.97,2.714,4.559
percent,7,3.265,4.086,3.382
perception,10,5.118,2.229,4.943
perform,7,5.97,3.938,5.25
performance,11,6.229,3.229,5.257
performer,9,6.353,5.677,4.794
perfume,7,5.849,5.839,2.636
period,6,3.849,4.455,3.529
periodical,10,2.719,3.941,4.206
periodical (intermittent),10,3.31,2.931,3.867
periodical (newspaper),10,3.355,5.793,4.233
perjury,7,4.821,3.3,5.069
perky,5,7,3.529,3.794
permanent,9,4.281,3.719,5.188
permission,10,4.088,3.177,4.412
perpetrator,11,6.226,3.807,4.438
persecute,9,5.455,3.97,5.455
persecution,11,5.294,3.314,5.514
persist,7,4.647,2.647,4.594
persistent,10,5.303,2.8,4.886
person,6,4.743,6.371,4.441
personal,8,5.647,2.818,4.588
personality,11,6.033,2.303,5.71
perspiration,12,4.118,5.485,3.294
pervert,7,4.781,4.212,4.273
pessimist,9,3.118,2.971,3.618
pest,4,4.219,4.625,3.065
pester,6,4.875,2.71,3.219
pet,3,5.5,5.552,3.032
petal,5,4.114,6.206,1.714
petrol,6,3.774,6.088,4.088
petty,5,3.969,2.645,2.531
phantom,7,5.294,2.636,4.469
pharmacist,10,3.471,6.412,4.303
pharmacy,8,3.788,6.412,4.5
phase,5,3.618,3.091,3.765
pheasant,8,3.031,6.618,3.576
phenomenal,10,7.4,2.057,6.353
phenomenon,10,6.886,2.171,6.059
philosophy,10,4.594,1.758,5.563
phone,5,4.563,6.704,2.839
photo,5,5.182,5.936,2.971
photographer,12,5.091,5.903,4
phrase,6,3.059,3.441,3.114
physical,8,6.029,4.618,4.829
physician,9,4.088,5.546,4.471
physics,7,3.788,4.735,5.909
pianist,7,5.114,6.229,4.083
piano,5,5.6,6.593,4.844
pick,4,4,3.688,2.667
picket,6,4.621,5.3,3.767
pickle,6,3.5,6.182,1.941
pickle (difficulty),6,4.188,2.97,3.781
pickle (preserve),6,3.235,5.576,2.364
picture,7,4.879,5.912,3.794
pie,3,5.147,6.5,2.618
piece,5,3.471,4.941,2.118
pier,4,4.552,6.355,4.406
pig,3,4.364,6.846,3.531
pigeon,6,3.219,6.571,2.257
pile,4,3.061,4.647,3.606
pill,4,4.625,6.613,1.906
pillow,6,4.914,6.441,3.324
pilot,5,4.774,6.546,3.906
pimp,4,4.2,5.559,4.059
pimple,6,3.594,6.273,2
pin,3,2.938,6.324,1.531
pinch,5,4.939,4.906,2.419
pine,4,3.242,5.706,3.765
pine (long for),4,5.485,2.303,5
pine (tree/wood),4,3.97,6.516,4.758
pineapple,9,4.235,6.818,3.029
pink,4,5.559,5.344,3
pint,4,4.788,6.303,2.697
pint (beer),4,4.829,6.794,3.273
pint (volume),4,4.606,5.943,3.6
pioneer,7,5.636,4.412,5.177
pipe,4,3.364,6.429,2.735
pipe (tobacco),4,3.625,6.576,2.939
pipe (water),4,2.6,6.529,3.457
pistol,6,4.794,6.343,3.294
piston,6,5.179,5.769,3.613
pitch,5,4.133,4.938,4.097
pitch (field of play),5,3.849,6.063,5.152
pitch (musical),5,5.528,3.829,4.088
pitch (tar),5,3.379,5.3,4
pitch (throw),5,4.485,4.882,4.061
pitiful,7,3.882,2.735,3.156
pity,4,3.515,2.323,3.742
pizza,5,6.188,6.72,3.387
plain,5,2.529,4.088,3.121
plan,4,4.061,3.853,4.206
plane,5,4.771,6.543,5.486
plane (aircraft),5,4.971,6.647,5.529
plane (surface),5,2.879,5.486,4.382
plane (wood),5,2.909,6.086,3.177
planet,6,5.514,5.941,6.429
plank,5,3.194,5.97,2.968
plant,5,3.618,6.655,3.258
plant (factory),5,3.242,6.281,5.5
plant (flower),5,4.324,6.242,2.912
plant (position),5,3.212,4.441,3.484
plantation,10,3.767,6.032,5.467
plasma,6,3.971,5.171,3.441
plaster,7,3.156,6.452,2.531
plaster (bandage),7,3.697,6.364,2.588
plaster (wall),7,2.647,5.941,3.765
plate,5,3.065,6.484,2.606
platter,7,3.853,5.971,3.677
play,4,6.829,4.171,4.5
play (game),4,6.188,4.441,4.324
play (stage performance),4,5.857,5.471,4.758
player,6,4.563,4.441,3.882
playful,7,7.353,2.743,4.677
plea,4,4.912,3.8,3.941
plead,5,4.455,3.212,4.485
please,6,4.829,2.943,4.114
pleasure,8,7.257,2.206,5.343
pledge,6,4.618,3.688,4.559
pliers,6,3.114,6.177,2.686
plight,6,4.613,2.7,4.467
plot,4,4.727,3.576,4.879
plot (conspiracy),4,6.647,3.324,5.438
plot (graph),4,3.059,5,3.412
plot (land),4,3.294,6.091,5.125
plot (story),4,4.882,3.941,4.394
plough,6,4.433,5.719,4.2
ploy,4,4.529,2.971,3.906
plug,4,2.857,6.343,2.257
plug (blockage),4,2.588,5.618,3.029
plug (electric),4,2.765,6.457,2.4
plum,4,3.5,6.543,1.912
plumber,7,3.344,5.931,3.906
plump,5,4.121,4.235,4.412
plural,6,3.677,3.485,4.781
poach,5,4.188,3.438,3.531
poach (cook),5,3.457,5.333,2.914
poach (hunt),5,4.656,4.853,4.531
pocket,6,2.882,6.206,2.813
poet,4,4.688,5.387,4.097
poetry,6,4.457,4.147,3.882
point,5,4.094,4.903,2.765
point (argument),5,5.485,2.758,4.485
point (finger),5,4.849,5.206,2.625
point (location),5,4.559,5.235,3.606
poison,6,4.697,5.765,4.353
poisoned,8,5.314,5.03,4.576
poke,4,4.938,5.029,3
poker,5,4.882,5.912,3.571
poker (cards),5,5.314,5.857,3.441
poker (rod),5,4.625,6.156,3.563
polar,5,4.353,4.364,4.382
pole,4,4,6.429,3.412
police,6,5.375,6.194,5.177
policeman,9,4.5,6.618,4.4
polish,6,3.857,5.114,3.265
polite,6,5.29,2.677,3.969
politician,10,4.03,5.939,5.152
poll,4,3.394,4.515,3.879
pollute,7,4.387,4.219,5.677
pollution,9,4.824,4.516,5.938
polyester,9,3.086,5.546,2.971
ponce,5,3.963,3.039,3.346
pond,4,3.971,6.382,3.371
pony,4,4.313,6.677,3.294
poodle,6,4.343,6.657,2.229
pool,4,4.941,6.294,4.471
pool (billiards),4,4.25,6.294,3.529
pool (shared),4,3.353,4.121,3.853
pool (water),4,5.629,6.091,4.647
poor,4,3.258,3.129,3.581
pope,4,3.206,6.029,4.8
population,10,4.063,4.882,6
pork,4,3.677,6.394,3.546
porpoise,8,3.821,6.321,3.679
port,4,3.152,5.853,4.563
port (harbour),4,3.546,6.364,4.971
port (wine),4,5.059,6.125,3.353
portal,6,4.529,4,4.387
porter,6,3.613,5.438,3.581
portion,7,4.059,4.543,3.97
portrait,8,4.324,6,4
position,8,4.571,4.029,4
positive,8,6.485,3.286,5
possess,7,5.286,3.571,4.677
possession,10,5.571,4.057,4.177
possessive,10,4.909,2.909,5.03
post,4,3.857,5.686,3.171
post (mail),4,3.824,6.147,3.182
post (pole),4,3.794,6.097,3.394
post (position),4,3.912,4.412,4.2
poster,6,3.771,6.235,3.194
postman,7,3.344,6.697,3.697
posture,7,4.03,5,4.121
pot,3,3.286,6.294,2.97
pot (drugs),3,5,5.688,3.781
pot (pan),3,2.429,6.514,2.441
potato,6,2.882,6.794,2.265
potent,6,5.5,3.515,4.697
pottery,7,3.379,6.035,3.133
poultry,7,3.382,6.029,3.147
pound,5,4.686,5.829,2.943
pound (dogs),5,4.03,6.177,3.455
pound (hammer),5,5.257,4.677,4.177
pound (money),5,4.576,6.484,3.719
pound (weight),5,3.353,4.824,3.629
poverty,7,4.594,4.281,5.939
power,5,5.882,2.879,5.677
powerful,8,7.031,3.719,6.29
powerless,9,4.059,2.971,3.853
practical,9,4.781,3.849,4.394
practice,8,4.844,3.531,4.879
prairie,7,4.1,6,5.103
praise,6,6.029,3.143,5.091
pram,4,3.719,6.677,3.182
prawn,5,3.371,6.515,2.03
pray,4,4.118,3.429,4.486
prayer,6,3.029,3.686,3.941
precise,7,4.9,3.267,2.742
predicament,11,4.912,3,4.939
preface,7,2.5,3.364,3.375
prefix,6,3,3.314,2.559
premium,7,4.912,3.171,5.152
present,7,5.235,4.839,4.147
present (gift),7,6.636,6.118,4.333
present (show),7,5.206,3.912,5.091
president,9,4.97,6.364,5.938
pressure,8,5.029,3.273,5.344
prestige,8,6.059,3.143,5.441
pretty,6,6.625,3.606,4.063
pretzel,7,4.029,6.412,2.265
prevent,7,3.818,3.294,4.324
preview,7,4.088,4.057,3.371
prick,5,5.265,4.912,3.273
prick (dick),5,5.121,4.571,3.543
prick (stab),5,4.697,4.8,2.686
pride,5,5.857,2.8,5.147
pride (feeling),5,6.125,2.344,5.903
pride (lions),5,5.829,6.147,5.457
primal,6,6.103,2.531,4.4
primary,7,3.581,3.818,3.333
prince,6,5.567,6.035,4.258
princess,8,5.971,5.677,4.438
print,5,4,4.968,3.31
prior,5,2.781,3.156,3.581
prison,6,5.063,6.2,5.613
prisoner,8,5.588,5.161,4.03
privacy,7,4.714,3.257,4.2
private,7,4.968,3.424,3.971
prize,5,6.936,4.7,4.194
probe,5,4.438,4.344,2.879
process,7,3.471,3,4.677
process (modify),7,3.571,3.088,4.394
process (procedure),7,3.088,3.515,4.677
process (understand),7,3.97,2.939,4.706
procession,10,3.844,4.471,5.161
product,7,3.829,5.2,3.771
production,10,4.971,4.029,5.088
profession,10,5.03,4.125,4.97
professional,12,6,3.886,5.412
professor,9,4.97,6.171,4.765
profile,7,4.147,4.581,3.697
profit,6,6.031,4.324,5.471
profound,8,5.333,2.121,5.286
programme,9,4.063,4.469,4.242
progress,8,5.559,3,5.094
progression,11,5.667,3.059,5.333
project,7,4.594,4.242,4.677
project (enterprise),7,5.114,4.121,5.206
project (protrude),7,4.697,4.235,4.794
projector,9,3.629,6.286,3.706
prolong,7,3.849,2.971,5.059
promote,7,5.516,3.059,4.941
promotion,9,5.588,4.114,4.571
prone,5,4.129,2.781,3.656
pronoun,7,3.324,3.794,3.029
proof,5,4.156,4.065,4.871
proper,6,3.839,2.697,4.125
property,8,3.6,5.706,5.171
prophet,7,5.065,3.903,5.065
propose,7,5.849,3.879,5.313
proprietor,10,3.129,5.571,4.483
prose,5,4.286,4.303,3.818
prosecute,9,5.5,4.156,5.441
prosecution,11,5.515,3.594,5.182
prosecutor,10,4.5,5.265,4.471
prosper,7,6.281,2.424,4.97
prosperity,10,6.382,2.457,6
prosperous,10,5.882,2.727,5.971
prostitute,10,4.486,6.242,4.594
protect,7,5.656,3.441,5.147
protected,9,5.2,3.2,5.353
protection,10,5.314,4,5
protest,7,6.258,4.576,5.394
proud,5,6.092,2.692,5.53
prove,5,4.588,2.743,4.455
provide,7,4.75,3.29,4.844
proxy,5,3.222,2.778,3.769
prudent,7,3.849,3.161,3.813
prune,5,3.091,5.455,2.091
prune (fruit),5,2.853,6.559,2
prune (trim),5,3.97,4.735,2.735
psychiatrist,12,4.788,6.177,4.344
psychologist,12,5.235,5.618,4.324
psychology,10,5.485,3.353,5.273
psychopath,10,6.4,4.229,5
psychotic,9,5.677,2.647,5.177
public,6,5.273,4.971,5.857
pudding,7,5.529,6.086,3
puffin,6,3.886,6.324,2.941
puke,4,3.061,5.844,3.032
pull,4,4.818,4,3.8
pull (attratcion),4,5.906,3.303,4.774
pull (drag),4,3.849,4.559,3.849
pulley,6,3.065,6.035,3.75
pulpit,6,3.148,5.885,3.667
pulse,5,5.656,5.455,3.727
pulse (e.g. beans),5,3.719,5.742,2.387
pulse (heartbeat),5,6.294,5.912,3.324
pump,4,4.706,5.324,3.677
pumpkin,7,4.125,6.788,3.206
pumps,5,3.429,5.7,2.844
pumps (equipment),5,3.177,6.371,3.743
pumps (shoes),5,4.735,6.677,2.546
punch,5,5.567,5.419,4.129
punch (drink),5,5.857,5.857,3.286
punch (strike),5,6.333,5.849,4.849
pungent,7,4.765,2.765,4.576
punish,6,4.8,3,4.735
punishment,10,6.125,3.656,5.125
pupil,5,3.914,5.807,3.086
pupil (eye),5,3.813,6.629,2.429
pupil (school),5,3.429,6.333,2.829
puppy,5,6.727,6.724,2.242
pure,4,5.333,2.788,4
purple,6,5.344,5.382,3.394
purse,5,4.813,6.536,2.364
pursue,6,6.469,3,4.706
pursued,7,5.212,3.781,4.563
pursuit,7,5.853,3.235,4.971
pus,3,3.933,5.813,2.567
push,4,5.088,5.114,4.029
pussy,5,5.697,5.529,3.177
pussy (cat),5,5.212,6.441,2.914
pussy (vagina),5,5.936,5.914,3.294
pussy (wimp),5,3.771,2.882,3.171
putrid,6,3.28,3.154,3.68
puzzle,6,5.118,4.882,3.514
puzzle (jigsaw),6,5,6.219,3.344
puzzle (mystery),6,5.879,3.912,4.469
pyramid,7,4.129,6.625,5.742
python,6,5.588,6.441,4.788
quack,5,3.939,4.375,3.242
quack (charlatan),5,4.429,3.643,3.444
